time,app,node,postgres,installer,titoli
17:44:19.094,0,0,0,0,"Esperienza input di Windows | ⠂ Controllare stato progetto Tako e continuare sviluppo"
17:44:19.552,0,0,0,0,"Esperienza input di Windows | ⠐ Controllare stato progetto Tako e continuare sviluppo"
17:44:19.981,0,0,0,0,"Esperienza input di Windows | ⠐ Controllare stato progetto Tako e continuare sviluppo"
17:44:20.405,0,0,0,0,"Esperienza input di Windows | ⠂ Controllare stato progetto Tako e continuare sviluppo"
17:44:20.846,0,0,0,0,"Esperienza input di Windows | ⠂ Controllare stato progetto Tako e continuare sviluppo"
17:44:21.263,1,0,0,0,"Esperienza input di Windows | ⠂ Controllare stato progetto Tako e continuare sviluppo"
17:44:21.720,1,2,0,0,"Esperienza input di Windows | ⠂ Controllare stato progetto Tako e continuare sviluppo"
17:44:22.164,1,2,0,0,"Esperienza input di Windows | ⠐ Controllare stato progetto Tako e continuare sviluppo"
17:44:22.602,1,2,0,0,"Esperienza input di Windows | ⠐ Controllare stato progetto Tako e continuare sviluppo"
17:44:23.060,1,2,0,0,"Aggiornamento Tako | Esperienza input di Windows | ⠐ Controllare stato progetto Tako e continuare sviluppo"
17:44:23.593,1,2,0,0,"Aggiornamento Tako | Esperienza input di Windows | ⠐ Controllare stato progetto Tako e continuare sviluppo"
17:44:24.024,1,2,0,0,"Aggiornamento Tako | Esperienza input di Windows | ⠐ Controllare stato progetto Tako e continuare sviluppo"
17:44:24.451,1,2,0,0,"Aggiornamento Tako | Esperienza input di Windows | ⠐ Controllare stato progetto Tako e continuare sviluppo"
17:44:24.884,1,2,0,0,"Aggiornamento Tako | Esperienza input di Windows | ⠐ Controllare stato progetto Tako e continuare sviluppo"
17:44:25.369,1,2,0,0,"Aggiornamento Tako | Esperienza input di Windows | ⠐ Controllare stato progetto Tako e continuare sviluppo"
17:44:25.788,1,2,1,0,"Aggiornamento Tako | Esperienza input di Windows | ⠐ Controllare stato progetto Tako e continuare sviluppo"
17:44:26.217,1,2,9,0,"Aggiornamento Tako | Esperienza input di Windows | ⠐ Controllare stato progetto Tako e continuare sviluppo"
17:44:26.647,1,2,9,0,"Aggiornamento Tako | Esperienza input di Windows | ⠐ Controllare stato progetto Tako e continuare sviluppo"
